Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Cluster
Russian Federation,RUS,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,0.0,0.0,0.0,0.0,0.0,0.3987481062,0.2847286934,0.2911988511,0.2427546031,0.2485426892,0.1753272268,0.255763085,0.2208730627,0.1674784931,0.2775102989,0.2233757611,0.2372972334,0.3130366023,0.4178153281,0.7967853285,0.8055526309,0.5951001165,0.6252313134,0.4708040371,0.0,2
Russian Federation,RUS,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,0.0,0.0,0.0,0.0,0.0,3.677394128,50.9698917,5.9819963271,5.3171126536,6.4181794303,7.7636945978,8.7028267179,8.6039159355,7.7924366038,7.279129116,8.5298933492,7.1566791018,7.497341894,6.8395604332,7.8848308802,9.1378017087,8.4000657474,8.6716405945,9.9064004182,0.0,2
Russian Federation,RUS,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,4.56746920227796,4.24157091872845,4.452496992131957,4.40662677338639,4.4862712438801,3.93367302692476,4.29820961653058,3.96017728385262,3.19760200202221,30.2499686537845,3.60989842058061,3.83366840684653,5.20106447642798,5.32857159109107,5.569726944198792,5.337359727984426,5.34379778032242,5.60404055051635,5.93690956013982,6.85018622853413,7.62071967802145,7.70821979480132,80.8591867523534,0.0,0.0,2
Russian Federation,RUS,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,482660000.0,563340000.0,626900000.0,551050000.0,497750000.0,444520000.0,546740000.0,598660000.0,589170000.0,694820000.0,1041290000.0,1369330000.0,2281190000.0,3044530000.0,2550740000.0,2623790000.0,3101490000.0,3493560000.0,4163110000.0,4503620000.0,3933500000.0,3903720000.0,4652750000.0,0.0,0.0,2
Russian Federation,RUS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.30874381939752,70.6634980534008,9.77723602131809,9.59270166044477,8.510197804617,9.20482695351151,10.7620097615829,12.195631695432153,16.412745343261527,16.2816096177424,12.195455884793832,10.9630081335298,0.0,2
Rwanda,RWA,High-technology exports (current US$),TX.VAL.TECH.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14878279.0,1237772.0,3358247.0,1314109.0,2473978.0,6764036.0,7939246.0,4986874.0,0.0,0.0,0.0,2
Rwanda,RWA,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,0.0,0.0,0.0,0.0,0.0,0.0,0.350485807,0.5246561675,2.539347052,0.7378070496,1.2037602605,0.4019480688,0.7071501048,0.441454967,0.8867670646,0.6023103149,0.4858069495,0.2314383853,0.4779145344,1.1241831618,0.8133255817,0.9975682434,0.0,0.0,0.0,2
Rwanda,RWA,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,0.0,0.0,0.0,0.0,0.0,0.0,9.1279156648,6.4888218202,7.6167303572,60.396723285,9.2775973324,70.778427565,7.888770113,80.358399513,11.7172559441,7.1001039253,6.6054137277,7.3565864421,6.3304520943,9.1702211814,9.8162625558,9.8205481762,0.0,0.0,0.0,1
Rwanda,RWA,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43840110493748,11.225656245833724,3.35990308790035,3.13100560929103,3.19367185404455,2.8197199447164527,2.30080712086769,1.9988532427785417,0.0,0.0,2
Rwanda,RWA,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13305227.7751785,53228797.9677822,173546810.705854,18110358.3899603,18819709.1170966,22228546.5092857,18585152.8919896,18595152.8919896,0.0,0.0,2
